city,location,price_text,price_pkr,bedrooms,bathrooms,size_text,size_sqft,property_type,built_year,parking_spaces,servant_quarters,store_rooms,kitchens,drawing_rooms
Islamabad,"Bahria Enclave - Sector H, Bahria Enclave",2.6 Crore,26000000,4.0,5.0,5 Marla,1125,House,2026.0,1.0,1.0,1.0,2.0,
Islamabad,"Soan Garden, Islamabad",82 Lakh,8200000,3.0,3.0,5.4 Marla,1215,Flat,2021.0,1.0,1.0,1.0,1.0,
Islamabad,"DHA Defence Phase 1, DHA Defence",1.69 Crore,16900000,1.0,1.0,3.3 Marla,742,Flat,2029.0,,,1.0,1.0,
Islamabad,"G-13/3, G-13",75 Thousand,75000,2.0,2.0,7 Marla,1575,Lower Portion,,,,,,
Islamabad,"DHA Defence Phase 2, DHA Defence",2.33 Crore,23300000,1.0,2.0,4.1 Marla,922,Flat,2005.0,,,,1.0,
Islamabad,"DHA Defence Phase 2, DHA Defence",3.62 Crore,36200000,2.0,3.0,6.4 Marla,1440,Flat,2005.0,,,,1.0,
Islamabad,"CBR Town Phase 1, CBR Town",3.35 Crore,33500000,4.0,5.0,7 Marla,1575,House,2023.0,,,,1.0,
Islamabad,"Top City 1, Islamabad",59 Lakh,5900000,1.0,1.0,2.7 Marla,608,Flat,2028.0,4.0,1.0,1.0,1.0,
Islamabad,"Top City 1, Islamabad",1.69 Crore,16900000,3.0,3.0,7.6 Marla,1710,Flat,2028.0,1.0,1.0,,1.0,
Islamabad,"Top City 1, Islamabad",1.45 Crore,14500000,3.0,3.0,6.4 Marla,1440,Flat,2023.0,1.0,,1.0,1.0,
Islamabad,"Top City 1, Islamabad",1.1 Crore,11000000,2.0,2.0,4.9 Marla,1102,Flat,2028.0,1.0,1.0,1.0,1.0,
Islamabad,"Top City 1, Islamabad",79 Lakh,7900000,1.0,1.0,3.1 Marla,698,Flat,2028.0,,1.0,1.0,,
Islamabad,"B-17, Islamabad",1.21 Crore,12100000,,1.0,3.3 Marla,742,Flat,2021.0,1.0,2.0,,3.0,
Islamabad,"E-11/4, E-11",2.2 Crore,22000000,3.0,3.0,7.6 Marla,1710,Flat,2018.0,,1.0,1.0,,
Islamabad,"Bahria Enclave - Sector C1, Bahria Enclave",5.7 Crore,57000000,5.0,6.0,10 Marla,2250,House,2026.0,2.0,1.0,2.0,2.0,
Islamabad,"Top City 1, Islamabad",5 Crore,50000000,7.0,6.0,1 Kanal,4500,House,2026.0,4.0,2.0,2.0,2.0,
Islamabad,"J7 Emporium, B-17",4.62 Crore,46200000,3.0,3.0,12.4 Marla,2790,Flat,2028.0,1.0,1.0,1.0,1.0,
Islamabad,"G-13/4, G-13",4.44 Crore,44400000,5.0,5.0,4 Marla,900,House,2025.0,,,,,
Islamabad,"Cube Apartments, Bahria Enclave",1.18 Crore,11800000,1.0,1.0,4.9 Marla,1102,Flat,2026.0,1.0,1.0,2.0,1.0,
Islamabad,"G-11, Islamabad",13.5 Crore,135000000,9.0,7.0,14.2 Marla,3195,House,2016.0,5.0,1.0,1.0,3.0,
